index,text,similarity_proba,predict_proba,average_proba,similarity_label,predict_label,average_label
0,Giờ biết giải thích sao với lão tôn đây 😅,0.6836564132327336,0.8767465949058533,0.7802015040692934,1,1,1
1,Nguyễn Đức Duẩn Thanh niên nhà Hà Nội thích N G O Ạ I - T ÌNH và ép bạn gái phải P H Á. T H A I,0.22788547107757787,0.8924453854560852,0.5601654282668316,0,1,1
2,Khỉ bố đang rất đau khổ,0.22788547107757787,0.0155167682096362,0.12170111964360704,0,0,0
3,Hàng xóm bên cạnh ngta cũng phận nữ nhi mà các camera chạy bằng cơm đồn ít có ác lắm 🤣,1.3673128264654675,0.6925759315490723,1.02994437900727,1,1,1
4,"Sinh nở đã vất vả lắm rồi, đừng hỏi bố đứa trẻ là ai đc khum🤣🤣🤣",0.6836564132327336,0.1544359624385833,0.41904618783565845,1,0,0
5,"Chửa đẻ đã vất vả lắm rồi,đừng hỏi nó là con của khứa nào có được hem😄",2.5067401818533575,0.6441623568534851,1.5754512693534213,1,1,1
6,Khỉ vàng chuồng bên là khỉ cái mà 😆,2.2788547107757795,0.6268699169158936,1.4528623138458365,1,1,1
7,sao nhìn em giống Tiểu Tôn ngộ không lắm.,1.5951982975430454,0.005743745714426,0.8004710216287357,1,0,1
8,Ngộ không này cầm Aleister hay Arum khóa đây,1.5951982975430454,0.0014763373183086,0.798337317430677,1,0,1
9,"sao xinh đẹp quá vậy, mọi lý do bỏ qua hết, đẹp vậy là ngon roài á",0.0,0.0014301722403615,0.00071508612018075,0,0,0
10,"Phụ nữ mang thai sinh đẻ đã vất vả rồi, đừng quan tâm bố đứa bé là ai dc k =)))",0.45577094215515573,0.0013789987424388,0.22857497044879727,0,0,0
11,Mie Nguyen e cười chớt =)))))),0.22788547107757787,0.0014855843037366,0.11468552769065724,0,0,0
12,Do Ngan An 😆 “ a yên tâm lớn lên lông nó sẽ đen lại thôi “,0.45577094215515573,0.0019507395336404,0.22886084084439806,0,0,0
13,Tại khỉ ngoài luồng mà các cán bộ lại phải giải trình. Dức cái đầu 🤧🤧🤧,2.0509692396982016,0.9571154713630676,1.5040423555306346,1,1,1
14,Trầm cảm sau sinh rồi ai chịu trách nhiệm :)))),0.9115418843103115,0.0073887705802917,0.4594653274453016,1,0,0
15,Mẹ khỉ kiểu: nỗi oan này trời xanh nào có thấu” 🤣🤣🤣🤣🤣🤣🤣🤣,1.8230837686206234,0.9929614663124084,1.408022617466516,1,1,1
16,"Phụ nữ sinh con đã vất vả, còn hỏi bố nó là ai để làm gì?",1.8230837686206234,0.3324100077152252,1.0777468881679244,1,0,1
17,"Hai chữ trong sạch, thần thiếp nói mãi cũng chán rồi 😂😂",0.45577094215515573,0.5542414784431458,0.5050062102991507,0,1,1
18,"T biết mà, ko thể để vụ này chìm được 🙂 Phải điều tra cho ra sự thật :))))",1.3673128264654675,0.0644760057330131,0.7158944160992403,1,0,1
19,"T nhìn thấy t ở trong hình ảnh này :)) mặc dù k đu , nhưng mẹ con t lúc nào cũng trong tình trạng ôm nhau kiểu này :))",1.3673128264654675,0.0029048228170722,0.6851088246412699,1,0,1
20,Khỉ hàng xóm bên cạnh kia là giống cái. T biết lâu lắm rồi mà,0.6836564132327336,0.0259042177349329,0.35478031548383326,1,0,0
21,Thu Giang nghi ngờ nhân sinh thế nhề 😂😂😂,0.6836564132327336,0.0019801070448011,0.3428182601387674,1,0,0
22,Sao mà đòi hỏi cao vậy .Con ai chả đc 🌝🌝🌝,0.45577094215515573,0.4619298279285431,0.4588503850418494,0,0,0
